DATE,Mortgage Interest Rates
25/05/84,14.08
01/06/84,14.29
08/06/84,14.33
15/06/84,14.47
22/06/84,14.49
29/06/84,14.5
06/07/84,14.66
13/07/84,14.68
20/07/84,14.66
27/07/84,14.67
03/08/84,14.68
10/08/84,14.54
17/08/84,14.39
24/08/84,14.36
31/08/84,14.38
07/09/84,14.42
14/09/84,14.43
21/09/84,14.29
28/09/84,14.26
05/10/84,14.18
12/10/84,14.19
19/10/84,14.1
26/10/84,14.05
02/11/84,13.85
09/11/84,13.74
16/11/84,13.63
23/11/84,13.55
30/11/84,13.42
07/12/84,13.2
14/12/84,13.2
21/12/84,13.18
28/12/84,13.14
04/01/85,13.1
11/01/85,13.12
18/01/85,13.12
25/01/85,12.96
01/02/85,12.93
08/02/85,12.91
15/02/85,12.9
22/02/85,12.94
01/03/85,13.02
08/03/85,13.1
15/03/85,13.2
22/03/85,13.24
29/03/85,13.29
05/04/85,13.27
12/04/85,13.23
19/04/85,13.16
26/04/85,13.12
03/05/85,13.07
10/05/85,13.02
17/05/85,12.94
24/05/85,12.83
31/05/85,12.71
07/06/85,12.39
14/06/85,12.27
21/06/85,12.05
28/06/85,12.15
05/07/85,12.13
12/07/85,12.03
19/07/85,11.94
26/07/85,12.03
02/08/85,12.17
09/08/85,12.23
16/08/85,12.24
23/08/85,12.18
30/08/85,12.11
06/09/85,12.15
13/09/85,12.24
20/09/85,12.21
27/09/85,12.17
04/10/85,12.17
11/10/85,12.17
18/10/85,12.13
25/10/85,12.07
01/11/85,12.01
08/11/85,11.9
15/11/85,11.79
22/11/85,11.64
29/11/85,11.58
06/12/85,11.5
13/12/85,11.31
20/12/85,11.14
27/12/85,11.09
03/01/86,10.81
10/01/86,10.77
17/01/86,10.99
24/01/86,10.97
31/01/86,10.89
07/02/86,10.85
14/02/86,10.8
21/02/86,10.68
28/02/86,10.51
07/03/86,10.2
14/03/86,10.01
21/03/86,10.01
28/03/86,10.1
04/04/86,9.99
11/04/86,9.98
18/04/86,9.92
25/04/86,9.86
02/05/86,9.9
09/05/86,10
16/05/86,10.08
23/05/86,10.36
30/05/86,10.38
06/06/86,10.74
13/06/86,10.76
20/06/86,10.61
27/06/86,10.62
04/07/86,10.61
11/07/86,10.59
18/07/86,10.43
25/07/86,10.4
01/08/86,10.4
08/08/86,10.4
15/08/86,10.23
22/08/86,10.04
29/08/86,9.93
05/09/86,9.9
12/09/86,9.96
19/09/86,10.07
26/09/86,10.1
03/10/86,10.08
10/10/86,9.99
17/10/86,9.96
24/10/86,9.95
31/10/86,9.89
07/11/86,9.83
14/11/86,9.81
21/11/86,9.64
28/11/86,9.5
05/12/86,9.3
12/12/86,9.35
19/12/86,9.3
26/12/86,9.29
02/01/87,9.37
09/01/87,9.32
16/01/87,9.21
23/01/87,9.04
30/01/87,9.08
06/02/87,9.06
13/02/87,9.09
20/02/87,9.11
27/02/87,9.07
06/03/87,9.03
13/03/87,9.05
20/03/87,9.03
27/03/87,9.03
03/04/87,9.26
10/04/87,9.43
17/04/87,10.27
24/04/87,10.37
01/05/87,10.47
08/05/87,10.52
15/05/87,10.48
22/05/87,10.81
29/05/87,10.7
05/06/87,10.7
12/06/87,10.66
19/06/87,10.44
26/06/87,10.35
03/07/87,10.36
10/07/87,10.3
17/07/87,10.23
24/07/87,10.23
31/07/87,10.27
07/08/87,10.35
14/08/87,10.34
21/08/87,10.3
28/08/87,10.33
04/09/87,10.63
11/09/87,10.91
18/09/87,10.99
25/09/87,11.02
02/10/87,11.18
09/10/87,11.21
16/10/87,11.58
23/10/87,11.36
30/10/87,10.97
06/11/87,10.79
13/11/87,10.66
20/11/87,10.6
27/11/87,10.55
04/12/87,10.6
11/12/87,10.66
18/12/87,10.69
25/12/87,10.64
31/12/87,10.61
08/01/88,10.5
15/01/88,10.53
22/01/88,10.34
29/01/88,10.16
05/02/88,9.94
12/02/88,9.84
19/02/88,9.92
26/02/88,9.87
04/03/88,9.85
11/03/88,9.96
18/03/88,9.92
25/03/88,9.99
01/04/88,10.05
08/04/88,10.19
15/04/88,10.19
22/04/88,10.3
29/04/88,10.28
06/05/88,10.32
13/05/88,10.4
20/05/88,10.52
27/05/88,10.58
03/06/88,10.58
10/06/88,10.51
17/06/88,10.35
24/06/88,10.4
01/07/88,10.39
08/07/88,10.38
15/07/88,10.44
22/07/88,10.46
29/07/88,10.49
05/08/88,10.44
12/08/88,10.57
19/08/88,10.71
26/08/88,10.67
02/09/88,10.65
09/09/88,10.53
16/09/88,10.4
23/09/88,10.4
30/09/88,10.42
07/10/88,10.38
14/10/88,10.33
21/10/88,10.28
28/10/88,10.22
04/11/88,10.12
11/11/88,10.24
18/11/88,10.31
25/11/88,10.39
02/12/88,10.44
09/12/88,10.46
16/12/88,10.71
23/12/88,10.68
30/12/88,10.77
06/01/89,10.8
13/01/89,10.81
20/01/89,10.71
27/01/89,10.6
03/02/89,10.55
10/02/89,10.56
17/02/89,10.69
24/02/89,10.78
03/03/89,10.91
10/03/89,10.86
17/03/89,10.98
24/03/89,11.22
31/03/89,11.19
07/04/89,11.07
14/04/89,11.11
21/04/89,10.99
28/04/89,11.03
05/05/89,10.97
12/05/89,10.93
19/05/89,10.69
26/05/89,10.5
02/06/89,10.48
09/06/89,10.2
16/06/89,10.04
23/06/89,10.19
30/06/89,10.07
07/07/89,10.03
14/07/89,9.82
21/07/89,9.87
28/07/89,9.81
04/08/89,9.68
11/08/89,9.96
18/08/89,10.09
25/08/89,10.21
01/09/89,10.22
08/09/89,10.17
