DATE,RENT
01/01/87,121.700
01/02/87,121.800
01/03/87,122.000
01/04/87,122.300
01/05/87,122.300
01/06/87,123.000
01/07/87,123.800
01/08/87,124.400
01/09/87,124.800
01/10/87,124.800
01/11/87,125.600
01/12/87,126.000
01/01/88,126.300
01/02/88,126.400
01/03/88,126.600
01/04/88,126.900
01/05/88,127.300
01/06/88,127.800
01/07/88,128.400
01/08/88,129.100
01/09/88,129.400
01/10/88,129.800
01/11/88,130.100
01/12/88,130.500
01/01/89,130.900
01/02/89,131.100
01/03/89,131.400
01/04/89,131.700
01/05/89,132.300
01/06/89,133.000
01/07/89,133.500
01/08/89,133.900
01/09/89,134.700
01/10/89,135.200
01/11/89,135.500
01/12/89,135.800
01/01/90,136.000
01/02/90,136.500
01/03/90,137.000
01/04/90,137.300
01/05/90,137.900
01/06/90,138.700
01/07/90,139.400
01/08/90,140.000
01/09/90,140.500
01/10/90,140.700
01/11/90,141.100
01/12/90,141.200
01/01/91,141.500
01/02/91,142.000
01/03/91,142.500
01/04/91,142.800
01/05/91,143.000
01/06/91,143.700
01/07/91,143.700
01/08/91,144.600
01/09/91,144.600
01/10/91,145.000
01/11/91,145.200
01/12/91,145.400
01/01/92,145.600
01/02/92,146.400
01/03/92,146.200
01/04/92,146.300
01/05/92,146.600
01/06/92,147.000
01/07/92,147.000
01/08/92,147.200
01/09/92,148.000
01/10/92,148.600
01/11/92,148.600
01/12/92,148.900
01/01/93,149.100
01/02/93,149.100
01/03/93,149.700
01/04/93,149.900
01/05/93,150.300
01/06/93,150.400
01/07/93,150.800
01/08/93,151.000
01/09/93,151.400
01/10/93,151.600
01/11/93,151.900
01/12/93,152.200
01/01/94,152.800
01/02/94,153.200
01/03/94,153.300
01/04/94,153.300
01/05/94,153.400
01/06/94,153.900
01/07/94,154.500
01/08/94,155.000
01/09/94,155.200
01/10/94,155.600
01/11/94,155.700
01/12/94,156.100
01/01/95,156.400
01/02/95,156.700
01/03/95,157.000
01/04/95,157.200
01/05/95,157.500
01/06/95,157.900
01/07/95,158.200
01/08/95,158.500
01/09/95,158.900
01/10/95,159.300
01/11/95,159.600
01/12/95,160.000
01/01/96,160.400
01/02/96,160.600
01/03/96,160.900
01/04/96,161.200
01/05/96,161.700
01/06/96,162.200
01/07/96,162.500
01/08/96,162.900
01/09/96,163.300
01/10/96,163.700
01/11/96,164.000
01/12/96,164.400
01/01/97,164.800
01/02/97,165.100
01/03/97,165.500
01/04/97,165.900
01/05/97,166.400
01/06/97,166.800
01/07/97,167.300
01/08/97,167.800
01/09/97,168.200
01/10/97,168.700
01/11/97,169.100
01/12/97,169.500
01/01/98,169.900
01/02/98,170.300
01/03/98,170.700
01/04/98,171.100
01/05/98,171.700
01/06/98,172.200
01/07/98,172.800
01/08/98,173.400
01/09/98,173.900
01/10/98,174.500
01/11/98,174.900
01/12/98,175.300
01/01/99,175.600
01/02/99,176.000
01/03/99,176.400
01/04/99,176.700
01/05/99,177.100
01/06/99,177.500
01/07/99,177.900
01/08/99,178.400
01/09/99,178.800
01/10/99,179.800
01/11/99,180.300
01/12/99,181.100
01/01/00,181.500
01/02/00,182.000
01/03/00,182.300
01/04/00,182.700
01/05/00,183.200
01/06/00,183.900
01/07/00,184.600
01/08/00,185.300
01/09/00,186.100
01/10/00,186.800
01/11/00,187.600
01/12/00,188.200
01/01/01,188.900
01/02/01,189.600
01/03/01,190.200
01/04/01,191.000
01/05/01,191.600
01/06/01,192.300
01/07/01,193.100
01/08/01,193.900
01/09/01,194.700
01/10/01,195.500
01/11/01,196.400
01/12/01,197.000
01/01/02,197.700
01/02/02,198.200
01/03/02,198.500
01/04/02,198.800
01/05/02,199.300
01/06/02,199.800
01/07/02,200.200
01/08/02,200.700
01/09/02,201.300
01/10/02,202.000
01/11/02,202.500
01/12/02,203.300
01/01/03,203.700
01/02/03,204.100
01/03/03,204.500
01/04/03,204.900
01/05/03,205.100
01/06/03,205.600
01/07/03,206.100
01/08/03,206.600
01/09/03,206.900
01/10/03,207.500
01/11/03,207.900
01/12/03,208.300
01/01/04,208.800
01/02/04,209.200
01/03/04,209.700
01/04/04,210.200
01/05/04,210.700
01/06/04,211.200
01/07/04,211.900
01/08/04,212.400
01/09/04,212.800
01/10/04,213.200
01/11/04,213.900
01/12/04,214.500
01/01/05,215.000
01/02/05,215.500
01/03/05,216.000
01/04/05,216.400
01/05/05,216.800
01/06/05,217.500
01/07/05,218.000
01/08/05,218.600
01/09/05,219.300
01/10/05,220.000
01/11/05,220.500
01/12/05,220.900
01/01/06,221.600
01/02/06,222.300
01/03/06,222.900
01/04/06,223.600
01/05/06,224.400
01/06/06,225.200
01/07/06,226.200
01/08/06,227.100
01/09/06,228.000
01/10/06,228.900
01/11/06,230.000
01/12/06,230.806
01/01/07,231.739
01/02/07,232.495
01/03/07,232.980
01/04/07,233.549
01/05/07,234.071
01/06/07,234.732
01/07/07,235.311
01/08/07,236.058
01/09/07,237.135
01/10/07,238.169
01/11/07,239.102
01/12/07,239.850
01/01/08,240.325
01/02/08,240.874
01/03/08,241.474
01/04/08,241.803
01/05/08,242.640
01/06/08,243.367
01/07/08,244.181
01/08/08,244.926
01/09/08,245.855
01/10/08,246.681
01/11/08,247.278
01/12/08,247.974
01/01/09,248.305
01/02/09,248.639
01/03/09,248.899
01/04/09,249.069
01/05/09,249.092
01/06/09,248.994
01/07/09,249.029
01/08/09,248.965
01/09/09,248.888
01/10/09,248.886
01/11/09,248.999
01/12/09,249.144
01/01/10,249.017
01/02/10,249.089
01/03/10,249.012
01/04/10,248.925
01/05/10,248.999
01/06/10,249.126
01/07/10,249.024
01/08/10,249.368
01/09/10,249.618
01/10/10,250.317
01/11/10,250.986
01/12/10,251.555
01/01/11,251.829
01/02/11,252.145
01/03/11,252.221
01/04/11,252.393
01/05/11,252.592
01/06/11,253.085
01/07/11,254.003
01/08/11,254.628
01/09/11,255.651
01/10/11,256.367
01/11/11,257.189
01/12/11,257.714
01/01/12,258.184
01/02/12,258.569
01/03/12,258.922
01/04/12,259.231
01/05/12,259.407
01/06/12,260.107
01/07/12,260.677
01/08/12,261.421
01/09/12,262.707
01/10/12,263.365
01/11/12,264.098
01/12/12,264.700
01/01/13,265.256
01/02/13,265.821
01/03/13,265.984
01/04/13,266.559
01/05/13,266.905
01/06/13,267.482
01/07/13,268.505
01/08/13,269.137
01/09/13,269.960
01/10/13,270.698
01/11/13,271.688
01/12/13,272.317
01/01/14,272.733
01/02/14,273.486
01/03/14,274.100
01/04/14,274.710
01/05/14,275.321
01/06/14,276.248
01/07/14,277.048
01/08/14,277.998
01/09/14,278.985
01/10/14,280.123
01/11/14,280.874
01/12/14,281.572
01/01/15,282.389
01/02/15,283.130
01/03/15,283.598
01/04/15,284.245
01/05/15,285.031
01/06/15,286.090
01/07/15,287.068
01/08/15,288.306
01/09/15,289.428
01/10/15,290.322
01/11/15,291.204
01/12/15,292.004
01/01/16,292.777
01/02/16,293.489
01/03/16,294.175
01/04/16,295.036
01/05/16,295.902
01/06/16,296.862
01/07/16,297.916
01/08/16,298.962
01/09/16,300.400
01/10/16,301.587
01/11/16,302.735
01/12/16,303.467
01/01/17,304.211
01/02/17,304.868
01/03/17,305.477
01/04/17,306.379
01/05/17,307.314
01/06/17,308.173
01/07/17,309.479
01/08/17,310.268
01/09/17,311.501
01/10/17,312.670
01/11/17,313.904
01/12/17,314.788
01/01/18,315.277
01/02/18,315.883
01/03/18,316.763
01/04/18,317.490
01/05/18,318.318
01/06/18,319.351
01/07/18,320.651
01/08/18,321.533
01/09/18,322.628
01/10/18,323.968
01/11/18,324.815
01/12/18,325.597
01/01/19,326.351
01/02/19,327.513
01/03/19,328.678
01/04/19,329.333
01/05/19,330.648
01/06/19,331.605
01/07/19,332.638
01/08/19,333.834
01/09/19,334.680
01/10/19,335.819
01/11/19,336.789
01/12/19,337.825
01/01/20,338.616
01/02/20,339.519
01/03/20,340.135
01/04/20,340.811
01/05/20,341.294
01/06/20,341.950
01/07/20,342.444
01/08/20,342.910
01/09/20,343.615
01/10/20,344.039
01/11/20,344.455
01/12/20,344.758
01/01/21,345.242
01/02/21,345.717
01/03/21,346.267
01/04/21,347.016
01/05/21,347.833
01/06/21,348.469
01/07/21,349.710
01/08/21,351.255
01/09/21,352.892
01/10/21,354.526
01/11/21,355.931
01/12/21,357.737
01/01/22,359.627
01/02/22,361.083
01/03/22,362.951
01/04/22,365.116
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
