DATE,Value
01/01/87,332.73 million
01/02/87,332.64 million
01/03/87,332.60 million
01/04/87,332.54 million
01/05/87,332.47 million
01/06/87,332.40 million
01/07/87,332.38 million
01/08/87,332.32 million
01/09/87,332.21 million
01/10/87,332.10 million
01/11/87,332.00 million
01/12/87,331.89 million
01/01/88,331.80 million
01/02/88,331.73 million
01/03/88,331.71 million
01/04/88,331.71 million
01/05/88,331.70 million
01/06/88,331.70 million
01/07/88,331.75 million
01/08/88,331.75 million
01/09/88,331.70 million
01/10/88,331.63 million
01/11/88,331.56 million
01/12/88,331.50 million
01/01/89,331.45 million
01/02/89,331.42 million
01/03/89,331.45 million
01/04/89,329.34 million
01/05/89,329.24 million
01/06/89,329.14 million
01/07/89,329.02 million
01/08/89,328.89 million
01/09/89,328.74 million
01/10/89,328.58 million
01/11/89,328.41 million
01/12/89,328.24 million
01/01/90,328.10 million
01/02/90,327.96 million
01/03/90,327.84 million
01/04/90,327.73 million
01/05/90,327.64 million
01/06/90,327.54 million
01/07/90,327.43 million
01/08/90,327.31 million
01/09/90,327.17 million
01/10/90,327.01 million
01/11/90,326.85 million
01/12/90,326.69 million
01/01/91,326.53 million
01/02/91,326.39 million
01/03/91,326.26 million
01/04/91,326.14 million
01/05/91,326.03 million
01/06/91,325.93 million
01/07/91,325.80 million
01/08/91,325.66 million
01/09/91,325.51 million
01/10/91,325.34 million
01/11/91,325.16 million
01/12/91,324.99 million
01/01/92,324.80 million
01/02/92,324.64 million
01/03/92,324.48 million
01/04/92,324.34 million
01/05/92,324.21 million
01/06/92,324.08 million
01/07/92,323.91 million
01/08/92,323.74 million
01/09/92,323.56 million
01/10/92,323.35 million
01/11/92,323.14 million
01/12/92,322.94 million
01/01/93,322.73 million
01/02/93,322.55 million
01/03/93,322.37 million
01/04/93,322.20 million
01/05/93,322.04 million
01/06/93,321.86 million
01/07/93,321.71 million
01/08/93,321.50 million
01/09/93,321.31 million
01/10/93,321.08 million
01/11/93,320.86 million
01/12/93,320.64 million
01/01/94,320.43 million
01/02/94,320.24 million
01/03/94,320.06 million
01/04/94,319.89 million
01/05/94,319.73 million
01/06/94,319.59 million
