DATE,Foreclosures
1986,127542
1987,133676
1988,135980
1989,145199
1990,175161
1991,165942
1992,179771
1993,170552
1994,165942
1995,172856
1996,175161
1997,182075
1998,186685
1999,198209
2000,191295
2001,183437
2002,232330
2003,255010
2004,275900
2005,293541
2006,383037
2007,592622
2008,983881
2009,1035033
2010,1178234
2011,958957
2012,853358
2013,679923
2014,608321
2015,506609
2016,385748
2017,395718
2018,335870
2019,319245
2020,182664
2021,287654
2022,304858
